Score: 85, Total Reward: -1314.1999999999925, Epsilon: 1.0, Won: False
Score: 50, Total Reward: -1449.6000000000352, Epsilon: 0.999, Won: False
Score: 20, Total Reward: -1106.8999999999985, Epsilon: 0.998001, Won: False
Score: 175, Total Reward: -1083.3999999999937, Epsilon: 0.997002999, Won: False
Score: 170, Total Reward: -1168.5999999999942, Epsilon: 0.996005996001, Won: False
Score: 50, Total Reward: -1429.7000000000253, Epsilon: 0.995009990004999, Won: False
Score: 120, Total Reward: -1359.2000000000053, Epsilon: 0.994014980014994, Won: False
Score: 0, Total Reward: -1247.9999999999902, Epsilon: 0.993020965034979, Won: False
Score: 60, Total Reward: -1399.5000000000382, Epsilon: 0.9920279440699441, Won: False
Score: 115, Total Reward: -1223.9000000000053, Epsilon: 0.9910359161258742, Won: False
Score: 70, Total Reward: -1289.200000000045, Epsilon: 0.9900448802097482, Won: False
Score: 110, Total Reward: -1268.9999999999857, Epsilon: 0.9890548353295385, Won: False
Score: 115, Total Reward: -1118.599999999992, Epsilon: 0.988065780494209, Won: False
Score: 25, Total Reward: -1031.4, Epsilon: 0.9870777147137147, Won: False
Score: 75, Total Reward: -1424.6000000000295, Epsilon: 0.986090636999001, Won: False
Score: 115, Total Reward: -1324.1000000000058, Epsilon: 0.9851045463620021, Won: False
Score: 40, Total Reward: -1459.700000000045, Epsilon: 0.98411944181564, Won: False
Score: 275, Total Reward: -1023.6000000000032, Epsilon: 0.9831353223738244, Won: False
Score: 180, Total Reward: -1299.4999999999961, Epsilon: 0.9821521870514506, Won: False
Score: 90, Total Reward: -1176.7999999999847, Epsilon: 0.9811700348643991, Won: False
Score: 15, Total Reward: -1484.8000000000452, Epsilon: 0.9801888648295347, Won: False
Score: 130, Total Reward: -1309.0000000000045, Epsilon: 0.9792086759647052, Won: False
Score: 35, Total Reward: -1256.0999999999879, Epsilon: 0.9782294672887405, Won: False
Score: 125, Total Reward: -1233.8999999999878, Epsilon: 0.9772512378214517, Won: False
Score: 140, Total Reward: -1178.6999999999816, Epsilon: 0.9762739865836303, Won: False
Score: 85, Total Reward: -1333.8000000000036, Epsilon: 0.9752977125970467, Won: False
Score: 225, Total Reward: -863.1999999999862, Epsilon: 0.9743224148844496, Won: False
Score: 15, Total Reward: -1484.8000000000452, Epsilon: 0.9733480924695651, Won: False
Score: 260, Total Reward: -705.000000000025, Epsilon: 0.9723747443770956, Won: False
Score: 50, Total Reward: -1449.6000000000365, Epsilon: 0.9714023696327185, Won: False
Score: 150, Total Reward: -1329.0000000000068, Epsilon: 0.9704309672630859, Won: False
Score: 80, Total Reward: -1419.500000000028, Epsilon: 0.9694605362958227, Won: False
Score: 0, Total Reward: -1166.099999999995, Epsilon: 0.9684910757595269, Won: False
Score: 130, Total Reward: -1055.6999999999944, Epsilon: 0.9675225846837673, Won: False
Score: 20, Total Reward: -1479.8000000000452, Epsilon: 0.9665550620990835, Won: False
Score: 0, Total Reward: -1082.0999999999997, Epsilon: 0.9655885070369844, Won: False
Score: 165, Total Reward: -1067.7999999999954, Epsilon: 0.9646229185299474, Won: False
Score: 40, Total Reward: -1039.0000000000014, Epsilon: 0.9636582956114175, Won: False
Score: 85, Total Reward: -1346.700000000006, Epsilon: 0.9626946373158061, Won: False
Score: 55, Total Reward: -1444.7000000000303, Epsilon: 0.9617319426784903, Won: False
Score: 85, Total Reward: -1354.3000000000166, Epsilon: 0.9607702107358118, Won: False
Score: 45, Total Reward: -1161.09999999999, Epsilon: 0.959809440525076, Won: False
Score: 65, Total Reward: -1434.5000000000284, Epsilon: 0.9588496310845509, Won: False
Score: 100, Total Reward: -1339.2000000000294, Epsilon: 0.9578907814534664, Won: False
Score: 20, Total Reward: -1479.8000000000452, Epsilon: 0.9569328906720129, Won: False
Score: 60, Total Reward: -1359.4000000000158, Epsilon: 0.9559759577813409, Won: False
Score: 125, Total Reward: -878.2999999999972, Epsilon: 0.9550199818235596, Won: False
Score: 95, Total Reward: -1404.400000000035, Epsilon: 0.9540649618417361, Won: False
Score: 90, Total Reward: -1329.2000000000048, Epsilon: 0.9531108968798944, Won: False
Score: 45, Total Reward: -1434.6000000000267, Epsilon: 0.9521577859830145, Won: False
Score: 45, Total Reward: -1394.5000000000264, Epsilon: 0.9512056281970315, Won: False
Score: 190, Total Reward: -1168.5999999999926, Epsilon: 0.9502544225688344, Won: False
Score: 245, Total Reward: -1154.0999999999883, Epsilon: 0.9493041681462656, Won: False
Score: 55, Total Reward: -1444.6000000000452, Epsilon: 0.9483548639781193, Won: False
Score: 40, Total Reward: -1118.6999999999966, Epsilon: 0.9474065091141411, Won: False
Score: 100, Total Reward: -1399.3000000000245, Epsilon: 0.946459102605027, Won: False
Score: 85, Total Reward: -1414.4000000000326, Epsilon: 0.9455126435024219, Won: False
Score: 10, Total Reward: -1078.5000000000002, Epsilon: 0.9445671308589195, Won: False
Score: 135, Total Reward: -1304.000000000005, Epsilon: 0.9436225637280606, Won: False
Score: 150, Total Reward: -1168.599999999983, Epsilon: 0.9426789411643326, Won: False
Score: 85, Total Reward: -1394.4000000000162, Epsilon: 0.9417362622231683, Won: False
Score: 0, Total Reward: -1088.1999999999994, Epsilon: 0.9407945259609451, Won: False
Score: 85, Total Reward: -1414.4000000000337, Epsilon: 0.9398537314349842, Won: False
Score: 80, Total Reward: -1319.1999999999962, Epsilon: 0.9389138777035492, Won: False
Score: 110, Total Reward: -1228.900000000011, Epsilon: 0.9379749638258457, Won: False
Score: 15, Total Reward: -1087.6999999999994, Epsilon: 0.9370369888620198, Won: False
